  2449     cell side=  247.    lamda=  30.0    %-model= 3.0    dens=  0.0
   X(m)   Y(m)   Z(m asl)   sx(m)  sy(m)   sz(m)  den(kg/m3)   sen    ord
 368622 6009679    2329       41    107     41      3.7        0.5    4.7
 368663 6009627    2329       41     85     41      3.7        0.4    4.9
 368663 6009698    2329       41     56     41      3.7        0.3    4.6
 368663 6009756    2329       41     59     41      3.7        0.3    5.0
 368663 6009846    2329       41    121     41      3.7        0.6    4.9
 368704 6009587    2329       41     86     41      3.7        0.4    5.1
 368704 6009650    2329       41     41     41      3.7        0.2    4.9
 368704 6009687    2329       41     31     41      3.7        0.1    4.0
 368704 6009716    2329       41     28     41      3.7        0.1    4.4
 368704 6009745    2329       41     30     41      3.7        0.1    5.0
 368704 6009780    2329       41     39     41      3.7        0.2    5.1
 368704 6009840    2329       41     81     41      3.7        0.4    5.1
 368745 6009581    2329       41     74     41      3.7        0.4    5.1
 368745 6009635    2329       41     34     41      3.7        0.2    4.7
 368745 6009663    2329       41     23     41      3.7        0.1    4.6
 368745 6009684    2329       41     18     41      3.7        0.1    4.2
 368745 6009701    2329       41     16     41      3.7        0.1    4.3
 368745 6009716    2329       41     15     41      3.7        0.1    4.6
 368745 6009732    2329       41     15     41      3.7        0.1    5.1
 368745 6009748    2329       41     17     41      3.7        0.1    5.1
 368745 6009767    2329       41     21     41      3.7        0.1    4.9
 368745 6009793    2329       41     30     41      3.7        0.2    5.1
 368745 6009839    2329       41     62     41      3.7        0.3    5.0
 368785 6009579    2329       41     71     41      3.7        0.4    5.1
 368785 6009631    2329       41     32     41      3.7        0.2    4.8
 368785 6009657    2329       41     21     41      3.7        0.1    4.6
 368785 6009676    2329       41     16     41      3.7        0.1    4.2
 368785 6009691    2329       41     14     41      3.7        0.1    4.3
 368785 6009747    2329       41     14     41      3.7        0.1    5.0
 368785 6009762    2329       41     16     41      3.7        0.1    5.1
 368785 6009781    2329       41     22     41      3.7        0.1    5.0
 368785 6009809    2329       41     35     41      3.7        0.2    5.1
 368785 6009878    2329       41    103     41      3.7        0.5    5.0
 368826 6009582    2329       41     76     41      3.7        0.4    5.0
 368826 6009637    2329       41     35     41      3.7        0.2    4.7
 368826 6009667    2329       41     24     41      3.7        0.1    4.5
 368826 6009689    2329       41     20     41      3.7        0.1    4.1
 368826 6009707    2329       41     18     41      3.7        0.1    4.3
 368826 6009725    2329       41     18     41      3.7        0.1    4.2
 368826 6009743    2329       41     19     41      3.7        0.1    4.9
 368826 6009763    2329       41     22     41      3.7        0.1    5.2
 368826 6009789    2329       41     31     41      3.7        0.2    5.1
 368826 6009834    2329       41     59     41      3.7        0.3    5.1
 368867 6009589    2329       41     90     41      3.7        0.5    5.0
 368867 6009656    2329       41     43     41      3.7        0.2    5.1
 368867 6009695    2329       41     35     41      3.7        0.2    4.2
 368867 6009729    2329       41     33     41      3.7        0.2    4.7
 368867 6009764    2329       41     38     41      3.7        0.2    5.2
 368867 6009816    2329       41     65     41      3.7        0.3    5.1
 368908 6009631    2329       41     93     41      3.7        0.5    5.0
 368908 6009710    2329       41     64     41      3.7        0.3    4.6
 368908 6009781    2329       41     78     41      3.7        0.4    5.0
 368948 6009685    2329       41    120     41      3.7        0.6    4.8
 368602 6009181    2223      172     89    172      3.7        8.0    3.9
 368602 6009258    2223      172     65    172      3.7        5.6    3.8
 368773 6009161    2223      172     85    172      3.7        7.7    4.1
 368773 6009234    2223      172     61    172      3.7        5.3    4.0
 368945 6009178    2223      172     89    172      3.7        8.0    4.1
 368945 6009254    2223      172     64    172      3.7        5.5    3.9
